Id	Property_id	Year	Revenue	Net_Income ($)
1	1	2021	405000	153000
2	1	2022	425000	163000
3	1	2023	445000	173000
4	1	2024	465000	183000
5	2	2021	410000	156000
6	2	2022	430000	166000
7	2	2023	450000	176000
8	2	2024	470000	186000
9	3	2021	415000	159000
10	3	2022	435000	169000
11	3	2023	455000	179000
12	3	2024	475000	189000
13	4	2021	420000	162000
14	4	2022	440000	172000
15	4	2023	460000	182000
16	4	2024	480000	192000
17	5	2021	425000	165000
18	5	2022	445000	175000
19	5	2023	465000	185000
20	5	2024	485000	195000
21	6	2021	430000	168000
22	6	2022	450000	178000
23	6	2023	470000	188000
24	6	2024	490000	198000
25	7	2021	435000	171000
26	7	2022	455000	181000
27	7	2023	475000	191000
28	7	2024	495000	201000
29	8	2021	440000	174000
30	8	2022	460000	184000
31	8	2023	480000	194000
32	8	2024	500000	204000
33	9	2021	445000	177000
34	9	2022	465000	187000
35	9	2023	485000	197000
36	9	2024	505000	207000
37	10	2021	450000	180000
38	10	2022	470000	190000
39	10	2023	490000	200000
40	10	2024	510000	210000
41	11	2021	455000	183000
42	11	2022	475000	193000
43	11	2023	495000	203000
44	11	2024	515000	213000
45	12	2021	460000	186000
46	12	2022	480000	196000
47	12	2023	500000	206000
48	12	2024	520000	216000
49	13	2021	465000	189000
50	13	2022	485000	199000
51	13	2023	505000	209000
52	13	2024	525000	219000
53	14	2021	470000	192000
54	14	2022	490000	202000
55	14	2023	510000	212000
56	14	2024	530000	222000
57	15	2021	475000	195000
58	15	2022	495000	205000
59	15	2023	515000	215000
60	15	2024	535000	225000
61	16	2021	480000	198000
62	16	2022	500000	208000
63	16	2023	520000	218000
64	16	2024	540000	228000
65	17	2021	485000	201000
66	17	2022	505000	211000
67	17	2023	525000	221000
68	17	2024	545000	231000
69	18	2021	490000	204000
70	18	2022	510000	214000
71	18	2023	530000	224000
72	18	2024	550000	234000
73	19	2021	495000	207000
74	19	2022	515000	217000
75	19	2023	535000	227000
76	19	2024	555000	237000
77	20	2021	500000	210000
78	20	2022	520000	220000
79	20	2023	540000	230000
80	20	2024	560000	240000
81	21	2021	505000	213000
82	21	2022	525000	223000
83	21	2023	545000	233000
84	21	2024	565000	243000
85	22	2021	510000	216000
86	22	2022	530000	226000
87	22	2023	550000	236000
88	22	2024	570000	246000
89	23	2021	515000	219000
90	23	2022	535000	229000
91	23	2023	555000	239000
92	23	2024	575000	249000
93	24	2021	520000	222000
94	24	2022	540000	232000
95	24	2023	560000	242000
96	24	2024	580000	252000
97	25	2021	525000	225000
98	25	2022	545000	235000
99	25	2023	565000	245000
100	25	2024	585000	255000
101	26	2021	530000	228000
102	26	2022	550000	238000
103	26	2023	570000	248000
104	26	2024	590000	258000
105	27	2021	535000	231000
106	27	2022	555000	241000
107	27	2023	575000	251000
108	27	2024	595000	261000
109	28	2021	540000	234000
110	28	2022	560000	244000
