Property_id,Property_Name,Property_Address,Metro_Area,Square_Foot (SF),Property_Type
1,Prologis Witt Road,5001 Witt Road,Dallas,7361640,Build-to-suit
2,Prologis Lewisville 2,401 West Vista Ridge Mall Drive,Lewisville,196987,Building
3,"Prologis Interchange 20, Building 3",3651 Allen Avenue,Arlington,173243,Spec Building
4,Prologis Atlantic Station 1,W. Plano Pkwy,Plano,160494,Spec Building
5,Prologis Great Southwest 89,1400 S. Great Southwest Parkway,Grand Prairie,216350,Spec Building
6,"Prologis Park 121, Building 3",220 N Freeport Parkway,Coppell,212980,Building
7,Prologis Great Southwest 86,2615 Gifford Street,Grand Prairie,322215,Building
8,Prologis Freeport Corporate Center 3,9400 N. Royal Lane,Irving,260700,Building
9,Prologis Freeport Corporate Center 3,9400 N. Royal Lane,Irving,260700,Building
10,Prologis Atlantic Station 3,W. Plano Pkwy,Plano,122097,Spec Building
11,Prologis Freeport Corporate Center 24,600 Freeport Parkway,Coppell,154744,Building
12,Prologis Freeport Corporate Center 20,800 W Bethel Road,Coppell,143000,Building
13,Prologis Great Southwest 60,2951 Great Southwest Parkway,Grand Prairie,132805,Building
14,Prologis Mesquite Distribution Center 2,5351 Samuell Boulevard,Mesquite,130300,Building
15,Prologis Atlantic Station 2,W. Plano Pkwy,Plano,109609,Spec Building
16,Prologis Great Southwest 48,410 W. Trinity Blvd.,Grand Prairie,107585,Building
17,"Prologis Park Meacham, Building 2",3901 N. Sylvania Avenue,Fort Worth,106818,Building
18,Prologis Heritage Business Park 1,1100 S Kimball Ave,Southlake,94993,Building
19,Prologis Heritage Business Park 9,1070 S Kimball Avenue,Southlake,94799,Building
20,"Prologis Interchange 20, Building 1",3500 New York Avenue,Arlington,79397,Spec Building
21,Prologis Northgate 30,3150 Marquis Dr,Garland,72423,Building
22,"Prologis Interchange 20, Building 2",1700 E Mayfield Road,Arlington,70196,Spec Building
23,Prologis Flower Mound 6,2000 Lakeside Parkway,Flower Mound,66566,Building
24,Prologis Heritage Business Park 4,801 Industrial Boulevard,Grapevine,66212,Building
25,Prologis DFW Corporate Center 1,2611 Regent Blvd,Irving,62000,Building
26,Prologis Northgate 6,11441 Hillguard Road,Dallas,59132,Building
27,Dulles Logistics Center 4,22620 Lockridge Road,Sterling,58240,Spec Building
28,Prologis Stemmons 11,151 Regal Row,Dallas,12860,Building
29,Prologis Stemmons 10,304-308 W Mockingbird Lane,Dallas,51264,Building
30,"Prologis Freeport 121 Crossing, Building 2",4051 Freeport Parkway,Grapevine,50502,Building
31,Prologis Freeport Corporate Center 2,5201 Regent Boulevard,Irving,50200,Building
32,Prologis Enterprise Distribution Center C,505 Century Parkway,Allen,33144,Building
33,Prologis Freeport Corporate Center 18,621 South Royal Lane,Coppell,49820,Building
34,Prologis Northwest Trade Center 9,1061 Texan Trail,Grapevine,6500,Building
35,Prologis Stemmons 21,9755 Clifford Drive,Dallas,44167,Building
36,Prologis Freeport Corporate Center 19,600 South Royal Lane,Coppell,43782,Building
37,Prologis Northwest Trade Center 11,1065 Texan Trail,Grapevine,11650,Building
38,Prologis Hanover 4,801 Hanover Drive,Grapevine,23646,Building
39,Prologis Great Southwest 88,1101 N Highway 161,Grand Prairie,404236,Build-to-suit
40,Prologis Plano Distribution Center 1,2800 E Plano Parkway,Plano,38400,Building
41,Prologis Freeport Corporate Center 12,3193 Bass Pro Drive,Grapevine,35481,Building
42,Prologis Hanover 4,801 Hanover Drive,Grapevine,23646,Building
43,Prologis Stemmons 11,151 Regal Row,Dallas,12860,Building
44,Prologis DFW 9,620 Westport Pkwy,Grapevine,18360,Building
45,Prologis Heritage Business Park 6,800 Industrial Boulevard,Grapevine,14969,Building
46,Prologis Hanover 2,601 Hanover Drive,Grapevine,9628,Building
47,Prologis Heritage Business Park 7,720 Industrial Boulevard,Grapevine,14381,Building
48,Prologis Great Southwest 70,609 Avenue R,Grand Prairie,12400,Building
49,Prologis DFW Cargo Center 1,1639 W. 23rd Street,DFW Airport,2491,Building
50,Prologis Northwest Trade Center 10,1063 Texan Trail,Grapevine,1735,Building
51,Prologis SFO 35-36 (Shaw Business Center),200-218 Shaw Rd & 1264-1272 San Mateo Ave,South San Francisco,102330,Building
52,Prologis Southern California Logistics Center,Air Expressway & Phantom,Victorville,46679,Build-to-suit
53,Prologis Mid Counties Distribution Center 11,14821 Northam Street,La Mirada,70587,Building
54,Prologis Airpark Logistics Center Bldg 3,1655 South Bullard Avenue,Goodyear,663005,Building
55,Prologis Perris Distribution Center 5,4323 Indian Avenue,Perris,656695,Building
56,Prologis Commerce Distribution Center 1,6100 Garfield Ave,Commerce,615000,Building
